date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:57	4419/4419	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202019%2022:10:52%20GMT	https://vps.apponfly.com/	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/index.html	(from )
01:10:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Aug%202019%2022:10:51%20GMT	https://vps.apponfly.com/robots.txt		(from )
01:10:58	32082/32082	---MCZ	200	added ('OK')	text/css	etag:%221d53bf2a09b8252%22	https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/jquery-ui.min.css	(from https://vps.apponfly.com/)
01:10:58	296175/296175	---MCZ	200	added ('OK')	text/css	etag:%221d53bf2a2faddef%22	https://vps.apponfly.com/css/winstrap.min.css	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/css/winstrap.min.css	(from https://vps.apponfly.com/)
01:10:58	6362/6362	---MCZ	200	added ('OK')	text/css	etag:%221d53bf2a09be7da%22	https://vps.apponfly.com/css/cloud-bastards.min.css?v=iG6OGnpEkmgL_vvmE9vZtsP-SXodh7_5rtJ7RLUOjV0	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/css/cloud-bastards.minf893.css	(from https://vps.apponfly.com/)
01:10:59	3946/3946	---MCZ	200	added ('OK')	application/javascript	etag:%221d53bf2a09bf06a%22	https://vps.apponfly.com/lib/js-cookie/src/js.cookie.js	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/js-cookie/src/js.cookie.js	(from https://vps.apponfly.com/)
01:10:59	34875/34875	---MCZ	200	added ('OK')	application/javascript	etag:%221d53bf2a09b773b%22	https://vps.apponfly.com/lib/requirejs/require.js	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/requirejs/require.js	(from https://vps.apponfly.com/)
01:11:00	596/596	---MCZ	200	added ('OK')	application/javascript	etag:%221d53bf2a09bfd54%22	https://vps.apponfly.com/scripts/RequireConfig.js?v=DbBECdTqX6cyQUjcAD3qCP4gnGL0HrDTDApRvLVui5E	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/scripts/RequireConfigaf33.js	(from https://vps.apponfly.com/)
01:11:00	846/846	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Aug%202019%2022:10:56%20GMT	https://www.google.com/recaptcha/api.js?onload=onRecaptchaLoadCallback&render=explicit	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/www.google.com/recaptcha/apia326.js	(from https://vps.apponfly.com/)
01:11:01	17161/17161	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bbc09%22	https://vps.apponfly.com/images/people.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/images/people.png	(from https://vps.apponfly.com/)
